llm,min_pct_countries_closer,min_dist_nonwestern,all_reps_beyond_median_country
deepseek-v4-flash,0.5871559633027523,0.701415694696804,True
deepseek-v4-flash [zh],0.6422018348623854,0.7605755648981952,True
deepseek-v4-flash:0731,0.6697247706422018,1.0495680255893478,True
deepseek-v4-flash:0731 [zh],0.9541284403669725,2.060107433008582,True
deepseek-v4-pro,0.5871559633027523,0.6401381125359904,True
deepseek-v4-pro [zh],0.8807339449541285,1.3616111738301782,True
gemma4:31b,0.963302752293578,1.7470910680700527,True
gemma4:31b [zh],0.9541284403669725,1.7820826701157924,True
glm-5.1,0.7339449541284404,1.0040777629464266,True
glm-5.1 [zh],0.8165137614678899,1.2616619080783429,True
glm-5.2,0.5596330275229358,0.9834770124856275,True
glm-5.2 [zh],0.8715596330275229,1.561621688955848,True
gpt-oss:120b,0.9724770642201835,2.2587726343555623,True
gpt-oss:120b [zh],0.9724770642201835,2.344207054323065,True
gpt-oss:20b,0.8807339449541285,1.599756500982027,True
gpt-oss:20b [zh],0.8165137614678899,1.1581045896711397,True
kimi-k2.6,0.6880733944954128,0.8127637094539014,True
kimi-k2.6 [zh],0.908256880733945,1.5169084110444868,True
kimi-k2.7-code,0.6788990825688074,0.8134911997792089,True
kimi-k2.7-code [zh],0.8165137614678899,1.2145748993454704,True
minimax-m2.7,0.7431192660550459,1.0622621033905901,True
minimax-m2.7 [zh],0.8256880733944955,1.5055201466173953,True
minimax-m3,0.41284403669724773,0.38307637460416,False
minimax-m3 [zh],0.7339449541284404,1.0170114173449896,True
mistral-large-3:675b,0.8165137614678899,1.0671410358805948,True
mistral-large-3:675b [zh],0.9541284403669725,1.6883106172943234,True
nemotron-3-nano:30b,0.8256880733944955,1.344718251351476,True
nemotron-3-nano:30b [zh],0.9174311926605505,1.5688508398533332,True
nemotron-3-super,0.6055045871559633,0.7056745127957411,True
nemotron-3-super [zh],0.8807339449541285,1.4457223339636702,True
nemotron-3-ultra,0.8165137614678899,1.1466494132293952,True
qwen3.5:397b,0.8165137614678899,1.140865461803794,True
qwen3.5:397b [zh],0.8623853211009175,1.599940391908382,True
== FLOOR OVER ALL CELLS ==,0.41284403669724773,0.38307637460416,False
